icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
a1fc58,N227PS,,0.433,0.0,-104.991594,39.944753,7150,False,121.4,184.72,0.0,,7450.0,1200,False,0,0
a0290d,N1094F,,0.066,0.0,-104.979248,40.127518,5200,False,80.3,85.0,192.0,,5600.0,1200,False,0,0
a0b7de,UAL526,,0.36,0.0,-104.959656,39.831352,13425,False,297.6,256.2,4544.0,,13625.0,3253,False,0,0
a1ebb7,N22265,,0.059,0.0,-104.940613,39.359917,8550,False,80.7,340.44,-384.0,,8825.0,1200,False,0,0
a2f0aa,AAY706,,0.104,0.1,-104.9193,44.325225,36000,False,415.8,208.91,-64.0,,35475.0,3602,False,0,0
a5d000,N474AK,,0.153,0.0,-104.891669,38.973587,7825,False,115.3,3.98,,,8125.0,1200,False,0,0
ac066b,AAL1871,,0.153,0.0,-104.875196,37.261459,32000,False,397.1,247.18,64.0,,32875.0,5656,False,0,0
a64567,SABER3,,0.097,0.0,-104.863547,38.940262,9075,False,62.1,123.18,,,9400.0,1202,False,0,0
a5c892,N472AK,,0.097,0.1,-104.859068,38.957932,8075,False,69.0,268.34,,,8375.0,1200,False,0,0
a71435,N555YS,,0.236,0.0,-104.854004,39.543473,6175,False,72.7,34.35,-448.0,,6450.0,1200,False,0,0
a893b3,N6516Z,,0.368,0.1,-104.851426,38.951843,9450,False,59.2,37.45,,,9750.0,1200,False,0,0
a25e9d,CXK318,,0.562,0.6,-104.85059,39.573441,5500,False,22.2,7.77,,,,,False,0,0
ad2b13,CAP548,,3.451,3.5,-104.850217,39.572994,ground,True,15.5,16.88,,,,,False,0,0
a236b7,N24144,,32.231,32.2,-104.849869,39.580121,ground,True,15.5,,,,,1200,False,0,0
a33d5c,THNDR70,,0.26,0.2,-104.84845,39.008913,ground,True,47.5,160.31,,,8600.0,1202,False,0,0
a63df9,SABER1,,0.203,0.1,-104.840917,38.937424,8100,False,61.3,331.76,,,8375.0,1202,False,0,0
a89e93,N65440,,0.224,0.1,-104.828796,40.193344,7100,False,90.6,239.47,,,7375.0,1200,False,0,0
a5c124,N470AK,,0.562,0.1,-104.825562,38.985637,6250,False,62.1,146.82,,,6650.0,1200,False,0,0
a5cc49,N473AK,,3.886,2.2,-104.821869,38.971858,ground,True,0.0,199.69,,,,1200,False,0,0
a6a607,N5275S,,0.258,0.0,-104.818481,39.569262,6975,False,86.0,150.75,-384.0,,7225.0,1200,False,0,0
